image_id,image_path,caption,clipscore_simplificado,categoria_error,severidad_1_a_5,evidencia_visual,comentario_tecnico,
img_00008,/app/MCC225/Semana7/data/processed/images/imagen_00008.jpg,A girl in a white dress .,0.21809617,pendiente,pendiente,pendiente,pendiente,
img_00068,/app/MCC225/Semana7/data/processed/images/imagen_00068.jpg,The men are climbing .,0.24175876,respuesta vaga,2,Tomando foto,Estan haciendo climbing pero actualmente están descansando.,
img_00046,/app/MCC225/Semana7/data/processed/images/imagen_00046.jpg,A man in the dooorway of a bus looking onward .,0.25287557,none,none,none,Describe a la imagen,
img_00065,/app/MCC225/Semana7/data/processed/images/imagen_00065.jpg,An attractive woman holds a halo above her head .,0.25349236,none,1,none,Podría describir mejor el ambiente.,
img_00153,/app/MCC225/Semana7/data/processed/images/imagen_00153.jpg,A person in an airplane .,0.25432354,respuesta vaga,3,pendiente,Se ve una persona pero no describe el entorno.,
img_00123,/app/MCC225/Semana7/data/processed/images/imagen_00123.jpg,A bicycle rider flies over a hill while a competitor is not far behind .,0.25505877,none,1,pendiente,Podría describir el color del suelo.,
img_00027,/app/MCC225/Semana7/data/processed/images/imagen_00027.jpg,A group of people in front of a house .,0.25588056,relación espacial,3,La fotografia,No describe correctamente el entorno. Se observa que las peronas están descansado o esperando.,
img_00030,/app/MCC225/Semana7/data/processed/images/imagen_00030.jpg,A group of mountain climbers,0.2580616,otro,3,nieve,Deberia describir mejor que hay nieve en el entorno.,
img_00159,/app/MCC225/Semana7/data/processed/images/imagen_00159.jpg,There is a college player being tackled in a game .,0.26180586,objeto,4,no se,Es un equipo de futbol americano.,
img_00089,/app/MCC225/Semana7/data/processed/images/imagen_00089.jpg,A man and woman walk away from the camera as a redheaded man walks in the other direction .,0.26222077,relacion espacial,3,tal vez,Es  un grupo de personas en un parque. No describe correctamente el entorno.,
img_00036,/app/MCC225/Semana7/data/processed/images/imagen_00036.jpg,A car sponsored by Riwal is smoking its tires on a wet road .,0.2656248,correcto,correcto,correcto,correcto,
img_00132,/app/MCC225/Semana7/data/processed/images/imagen_00132.jpg,A bunch on people are seated in a stadium .,0.26772496,correcto,"correcto ",correcto,correcto,
img_00075,/app/MCC225/Semana7/data/processed/images/imagen_00075.jpg,A man is playing with a fire baton in the day light .,0.26885182,correcto,correcto,correcto,correcto,
img_00039,/app/MCC225/Semana7/data/processed/images/imagen_00039.jpg,A man in sunglasses gets ready to pull a chair out to sit down for his meal .,0.2718329,pendiente,pendiente,pendiente,pendiente,
img_00122,/app/MCC225/Semana7/data/processed/images/imagen_00122.jpg,A guy tries to climb a stone cliff while his friend helps him .,0.27674335,pendiente,pendiente,pendiente,pendiente,
img_00147,/app/MCC225/Semana7/data/processed/images/imagen_00147.jpg,A kid doing a trick on a skateboard .,0.27910978,pendiente,pendiente,pendiente,pendiente,
img_00131,/app/MCC225/Semana7/data/processed/images/imagen_00131.jpg,A dog in a snowy area .,0.27933672,pendiente,pendiente,pendiente,pendiente,
img_00100,/app/MCC225/Semana7/data/processed/images/imagen_00100.jpg,A group of climbers begin up a sheer rock face .,0.2813633,pendiente,pendiente,pendiente,pendiente,
img_00087,/app/MCC225/Semana7/data/processed/images/imagen_00087.jpg,A driver is at the wheel of a race car .,0.28193188,pendiente,pendiente,pendiente,pendiente,
img_00124,/app/MCC225/Semana7/data/processed/images/imagen_00124.jpg,A crowd is standing and cheering at a football game .,0.28258538,pendiente,pendiente,pendiente,pendiente,
img_00058,/app/MCC225/Semana7/data/processed/images/imagen_00058.jpg,A man is skiing down a mountain with another large mountain behind him and a river between the mountains .,0.2857495,pendiente,pendiente,pendiente,pendiente,
img_00092,/app/MCC225/Semana7/data/processed/images/imagen_00092.jpg,a boy in blue shirt splashing in water under a dock,0.3235265,pendiente,pendiente,pendiente,pendiente,
img_00012,/app/MCC225/Semana7/data/processed/images/imagen_00012.jpg,A blue boat with a yellow canopy is floating on calm waters .,0.30524227,pendiente,pendiente,pendiente,pendiente,
img_00053,/app/MCC225/Semana7/data/processed/images/imagen_00053.jpg,A person behind some bags inside an igloo .,0.32553682,pendiente,pendiente,pendiente,pendiente,
img_00025,/app/MCC225/Semana7/data/processed/images/imagen_00025.jpg,A group of 5 girls in school uniforms are standing together and waiting to cross the street while one girl takes a picture .,0.34138912,pendiente,pendiente,pendiente,pendiente,
img_00056,/app/MCC225/Semana7/data/processed/images/imagen_00056.jpg,A brown dog chases something a man behind him threw on the beach .,0.3224452,pendiente,pendiente,pendiente,pendiente,
img_00050,/app/MCC225/Semana7/data/processed/images/imagen_00050.jpg,A climber walks along a snowy peak .,0.28849652,pendiente,pendiente,pendiente,pendiente,
img_00070,/app/MCC225/Semana7/data/processed/images/imagen_00070.jpg,A dark colored man is holding a protest banner in a busy city street with people staring from behind .,0.33393186,pendiente,pendiente,pendiente,pendiente,
img_00054,/app/MCC225/Semana7/data/processed/images/imagen_00054.jpg,A brown dog drinks from a body of water .,0.3361686,pendiente,pendiente,pendiente,pendiente,
img_00074,/app/MCC225/Semana7/data/processed/images/imagen_00074.jpg,A boy jumps from the top of a blue plastic slide .,0.309741,pendiente,pendiente,pendiente,pendiente,
img_00048,/app/MCC225/Semana7/data/processed/images/imagen_00048.jpg,A group of people hold drinks and point at the camera .,0.33568358,pendiente,pendiente,pendiente,pendiente,
img_00148,/app/MCC225/Semana7/data/processed/images/imagen_00148.jpg,A girl and guy holding signs and hugging .,0.35834616,pendiente,pendiente,pendiente,pendiente,
img_00001,/app/MCC225/Semana7/data/processed/images/imagen_00001.jpg,A little baby plays croquet .,0.30590189,pendiente,pendiente,pendiente,pendiente,
img_00094,/app/MCC225/Semana7/data/processed/images/imagen_00094.jpg,A lady and her little girl are holding hands and walking up the sidewalk .,0.3250183,pendiente,pendiente,pendiente,pendiente,
img_00105,/app/MCC225/Semana7/data/processed/images/imagen_00105.jpg,A child is sliding into a small pool .,0.28285778,pendiente,pendiente,pendiente,pendiente,
img_00069,/app/MCC225/Semana7/data/processed/images/imagen_00069.jpg,A skateboarder jumps off his skateboard in midair in hopes of landing back on it .,0.28929773,pendiente,pendiente,pendiente,pendiente,
img_00103,/app/MCC225/Semana7/data/processed/images/imagen_00103.jpg,"A dog runs holding a yellow dog toy in fall , bench in the background .",0.30808097,pendiente,pendiente,pendiente,pendiente,
img_00077,/app/MCC225/Semana7/data/processed/images/imagen_00077.jpg,A guy with a scarf and woven toboggan .,0.29176873,pendiente,pendiente,pendiente,pendiente,
,,,,,,,,